Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3N
Stereo", recently,2021,0.8,stereo,30,1,4,120,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3N
Tri-Stereo", recently,2021,0.8,tri-stereo,30,1,4,120,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView Neo-1, recently,2021,1,stereo,30,1,4,120,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-2, recently,2018,1,stereo,30,1,4,160,100,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,40,1,0,0,100,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,40,4,0,0,100,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,40,1,4,160,100,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3, recently,2009,6,stereo,40,1,8,160,100,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,50,1,0,0,100,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,50,4,0,0,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,stereo,50,1,4,200,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3, recently,2009,6,stereo,50,1,8,200,100,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo, recently,2012,1.2,stereo,50,4,0,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Stereo, recently,2012,1.2,stereo,50,1,4,200,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo, recently,2012,1.2,tri-stereo,50,4,0,0,25,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1 Tri-Stereo, recently,2012,1.2,tri-stereo,50,1,4,200,25,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-1, recently,2007,6,stereo,50,1,0,0,100,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-1, recently,2016,1,stereo,50,1,4,200,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Stereo", recently,2020,0.8,stereo,50,1,4,200,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ3A
Tri - Stereo", recently,2020,0.8,tri-stereo,50,1,4,200,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also", recently,2015,1,stereo,55,4,0,0,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also", recently,2015,1,stereo,55,1,4,220,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3, recently,2012,1,stereo,70,4,0,0,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPSAT-3, recently,2012,1,stereo,70,1,4,220,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Stereo", recently,2006,0.4,stereo,70,1,0,0,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EROS B
Tri-Stereo", recently,2006,0.4,tri-stereo,70,1,0,0,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOSAT-2, recently,2006,0.3,stereo,75,4,0,0,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
